car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12385,8113,Audi,Audi A7 Sportback Mild Hybrid,2.0 TFSI S tronic (A),318046,-,127218,2714,70200,1194,-,-,15.6,Petrol-Electric,True
12385,6669,Audi,Audi A7 Sportback Mild Hybrid,3.0 TFSI qu S tronic (A),423887,-,169555,3617,70200,2698,-,-,13.7,Petrol-Electric,True
12387,6672,Volkswagen,Volkswagen Polo,1.0 TSI DSG Comfortline (A),107400,9800,32220,1069,47001,390,17815,17815,20.4,Petrol,True
12387,6673,Volkswagen,Volkswagen Polo,1.0 TSI DSG Beats (A),114400,10400,45760,976,47001,390,21150,21610,20.4,Petrol,True
12391,7947,SKODA,SKODA Karoq,1.4 TSI Ambition (A),158900,14600,63560,1356,70200,622,23474,24864,15.2,Petrol,True
12391,7948,SKODA,SKODA Karoq,1.4 TSI Style (A),168900,15500,67560,1441,70200,622,26163,28628,15.2,Petrol,True
12392,8008,Alfa Romeo,Alfa Romeo Stelvio,Super (A),255000,-,102000,2176,70200,1206,-,-,14.3,Petrol,True
12392,8009,Alfa Romeo,Alfa Romeo Stelvio,Veloce (A),299000,-,119600,2551,70200,1206,-,-,14.3,Petrol,True
12392,8010,Alfa Romeo,Alfa Romeo Stelvio,Quadrifoglio (A),399000,-,159600,3405,70200,2258,-,-,10.2,Petrol,True
12395,6820,Mercedes-Benz,Mercedes-Benz A-Class Hatchback,A180 Progressive (A),168888,15100,67555,1441,47001,586,31227,35718,16.9,Petrol,True
12395,6701,Mercedes-Benz,Mercedes-Benz A-Class Hatchback,A200 Progressive (A),207888,-,83155,1774,70200,586,-,-,17.9,Petrol,True
12395,6702,Mercedes-Benz,Mercedes-Benz A-Class Hatchback,A200 AMG Line (A),210888,19200,84355,1799,70200,586,32461,37445,17.9,Petrol,True
12395,6703,Mercedes-Benz,Mercedes-Benz A-Class Hatchback,A250 AMG Line (A),232888,-,93155,1987,70200,1202,-,-,15.4,Petrol,True
12395,7695,Mercedes-Benz,Mercedes-Benz A-Class Hatchback,A35 AMG 4MATIC (A),276888,-,110755,2363,70200,1202,-,-,13.5,Petrol,True
12395,7691,Mercedes-Benz,Mercedes-Benz A-Class Hatchback,A45 S AMG 4MATIC+ (A),355888,31300,142355,3037,70200,1202,62921,85258,11.2,Petrol,True
12396,8333,Kia,Kia Stonic,1.0T EX (A),89999,8700,27000,896,47001,390,17455,5000,18.5,Petrol,True
12404,7778,Mercedes-Benz,Mercedes-Benz B-Class,B180 Progressive (A),165888,14700,66355,1415,47001,586,32685,37759,16.9,Petrol,True
12404,6987,Mercedes-Benz,Mercedes-Benz B-Class,B200 Progressive (A),217888,19800,87155,1859,70200,586,34132,39785,17.5,Petrol,True
12404,7138,Mercedes-Benz,Mercedes-Benz B-Class,B200 AMG Line (A),223888,-,89555,1910,70200,586,-,-,17.5,Petrol,True
12405,6938,BMW,BMW Z4 Roadster,sDrive20i Sport (A),POA,-,-,-,70200,1210,50102,62184,15.4,Petrol,True
12406,7690,BMW,BMW 3 Series Sedan,318i Sport (A),228888,20400,91555,1953,70200,1210,41367,49914,17.2,Petrol,True
12406,8385,BMW,BMW 3 Series Sedan,318i M Sport (A),236888,21000,94755,2021,70200,1210,43708,53191,17.2,Petrol,True
12406,7265,BMW,BMW 3 Series Sedan,320i M Sport (A),280888,25000,112355,2397,70200,1210,49629,61481,17.2,Petrol,True
12410,7426,BMW,BMW 8 Series Coupe,840i Shadow Line (A),518888,-,207555,4428,70200,2382,-,-,13,Petrol,True
12411,7694,Mercedes-Benz,Mercedes-Benz C-Class Saloon,C180 Avantgarde (A),242888,22200,97155,2073,70200,682,35584,41818,15.4,Petrol,True
12412,7721,Mercedes-Benz,Mercedes-Benz C-Class Coupe,C180 (A),253888,22900,101555,2166,70200,682,40747,49046,15.4,Petrol,True
12417,7767,Mercedes-Benz,Mercedes-Benz C-Class Cabriolet,C180 (A),285888,-,114355,2439,70200,682,-,-,13.9,Petrol,True
12423,7475,Audi,Audi A6 Sedan Mild Hybrid,2.0 TFSI S tronic Design [190hp] (A),265713,24000,106285,2267,70200,1194,41892,50649,16.1,Petrol-Electric,True
12423,7178,Audi,Audi A6 Sedan Mild Hybrid,2.0 TFSI S tronic Design [245hp] (A),275951,24900,110380,2355,70200,1194,44090,53726,14.3,Petrol-Electric,True
12423,6758,Audi,Audi A6 Sedan Mild Hybrid,3.0 TFSI qu S tronic Sport (A),393138,34900,157255,3355,70200,2380,65139,89250,13.9,Petrol-Electric,True
12424,7742,DS,DS 7 Crossback,1.6 Grand Chic 180PS (A),189999,17000,76000,1621,70200,742,34353,40094,18.1,Petrol,True
12424,6859,DS,DS 7 Crossback,1.6 Grand Chic 180PS [Sunroof] (A),193999,17100,77600,1655,70200,742,38078,45309,18.1,Petrol,True
12426,8320,Hyundai,Hyundai Kona Electric,39.2kWh (A),151888,-,60755,1296,70200,1060,-,-,13,Electric,True
12426,8321,Hyundai,Hyundai Kona Electric,39.2kWh Sunroof (A),156888,-,62755,1339,70200,1060,-,-,13,Electric,True
12426,8322,Hyundai,Hyundai Kona Electric,64.0kWh Sunroof (A),176888,-,70755,1509,70200,1646,-,-,13.8,Electric,True
12428,6776,Toyota,Toyota RAV4,2.0 (A),162888,14600,65155,1390,70200,1196,30048,34067,16.7,Petrol,True
12430,7471,Audi,Audi Q3,1.4 TFSI S tronic [17" Rim] (A),187890,17300,75156,1603,70200,622,27591,30627,14.3,Petrol,True
12431,6841,Jeep,Jeep Wrangler Sahara 4-Door,2.0 Turbo (A),265999,24100,106400,2270,70200,1206,40994,49392,11.6,Petrol,True
12435,7790,Bentley,Bentley Continental GT,4.0 V8 (A),POA,-,-,-,70200,3942,212948,355306,9.5,Petrol,True
12435,6786,Bentley,Bentley Continental GT,6.0 W12 (A),POA,-,-,-,70200,6998,-,-,8.2,Petrol,True
12436,7820,Bentley,Bentley Continental GT Convertible,4.0 V8 (A),POA,-,-,-,70200,3942,245221,413398,9.2,Petrol,True
12436,6789,Bentley,Bentley Continental GT Convertible,6.0 W12 (A),POA,-,-,-,70200,6998,-,-,8.1,Petrol,True
12437,6796,Golden Dragon,Golden Dragon XML6112 Diesel,6.7 [Euro VI] (A),POA,-,-,-,38890,-,-,-,,Diesel (Euro VI),True
12440,6805,Lexus,Lexus UX 250h Hybrid,2.0 Executive (A),199800,18300,79920,1705,70200,1196,41062,34487,22.2,Petrol-Electric,True
12440,6806,Lexus,Lexus UX 250h Hybrid,2.0 Luxury (A),209800,19000,83920,1790,70200,1196,44062,38687,22.2,Petrol-Electric,True
12441,8434,Jaguar,Jaguar I-PACE Electric,SE 90 kWh (A),360999,-,144400,3080,70200,3586,-,-,23,Electric,True
12441,6811,Jaguar,Jaguar I-PACE Electric,First Edition 90 kWh (A),395999,35000,158400,3379,70200,3586,86371,92468,23,Electric,True
12444,6942,BMW,BMW X5,xDrive40i X Line 7-Seater (A),392888,33200,157155,3352,70200,2382,83608,122494,10.9,Petrol,True
12444,7501,BMW,BMW X5,xDrive40i M Sport 7-Seater (A),402888,33800,161155,3438,70200,2382,87860,130148,10.9,Petrol,True
12445,6863,Nissan,Nissan Leaf Electric,40 kWh (A),162800,-,65120,1389,70200,1178,-,-,17.1,Electric,True
12446,6830,Golden Dragon,Golden Dragon XML6129 Diesel,8.9 49-Seater 2-door [Euro VI] (A),POA,-,-,-,38890,-,-,-,,Diesel (Euro VI),True
12446,7002,Golden Dragon,Golden Dragon XML6129 Diesel,8.9 53-Seater 1-door [Euro VI] (A),POA,-,-,-,38890,-,-,-,,Diesel (Euro VI),True
12450,7170,Toyota,Toyota GR Supra,3.0 (A),237888,-,-,-,70200,2382,-,-,13,Petrol,False
