372,BUKIT MERAH,3 ROOM,270000
373,BUKIT MERAH,3 ROOM,356000
374,BUKIT MERAH,3 ROOM,345000
375,BUKIT MERAH,3 ROOM,532000
376,BUKIT MERAH,3 ROOM,480000
377,BUKIT MERAH,3 ROOM,470000
378,BUKIT MERAH,3 ROOM,398000
379,BUKIT MERAH,3 ROOM,439500
380,BUKIT MERAH,3 ROOM,320000
381,BUKIT MERAH,3 ROOM,668000
382,BUKIT MERAH,3 ROOM,290000
383,BUKIT MERAH,3 ROOM,300000
384,BUKIT MERAH,3 ROOM,270000
385,BUKIT MERAH,3 ROOM,235000
386,BUKIT MERAH,3 ROOM,268000
387,BUKIT MERAH,3 ROOM,350000
388,BUKIT MERAH,3 ROOM,560000
389,BUKIT MERAH,3 ROOM,620000
390,BUKIT MERAH,3 ROOM,388000
391,BUKIT MERAH,3 ROOM,345000
392,BUKIT MERAH,3 ROOM,263000
393,BUKIT MERAH,3 ROOM,328888
394,BUKIT MERAH,3 ROOM,275000
395,BUKIT MERAH,3 ROOM,338000
396,BUKIT MERAH,3 ROOM,335000
397,BUKIT MERAH,3 ROOM,312000
398,BUKIT MERAH,3 ROOM,325000
399,BUKIT MERAH,3 ROOM,395000
400,BUKIT MERAH,3 ROOM,238000
401,BUKIT MERAH,3 ROOM,625000
402,BUKIT MERAH,4 ROOM,830000
403,BUKIT MERAH,4 ROOM,935000
404,BUKIT MERAH,4 ROOM,520000
405,BUKIT MERAH,4 ROOM,545000
406,BUKIT MERAH,4 ROOM,640000
407,BUKIT MERAH,4 ROOM,350000
408,BUKIT MERAH,4 ROOM,910000
409,BUKIT MERAH,4 ROOM,550000
410,BUKIT MERAH,4 ROOM,590000
411,BUKIT MERAH,4 ROOM,648000
412,BUKIT MERAH,4 ROOM,500000
413,BUKIT MERAH,4 ROOM,745000
414,BUKIT MERAH,4 ROOM,750000
415,BUKIT MERAH,4 ROOM,760000
416,BUKIT MERAH,4 ROOM,720000
417,BUKIT MERAH,4 ROOM,730000
418,BUKIT MERAH,4 ROOM,770000
419,BUKIT MERAH,4 ROOM,775000
420,BUKIT MERAH,4 ROOM,790000
421,BUKIT MERAH,4 ROOM,805000
422,BUKIT MERAH,4 ROOM,800000
423,BUKIT MERAH,4 ROOM,680000
424,BUKIT MERAH,4 ROOM,640000
425,BUKIT MERAH,4 ROOM,650000
426,BUKIT MERAH,4 ROOM,718000
427,BUKIT MERAH,4 ROOM,588000
428,BUKIT MERAH,4 ROOM,435000
429,BUKIT MERAH,4 ROOM,820000
